question,answer,source,focus_area,q_word_len,a_word_len
What are the treatments for Stiff-Person Syndrome ?,"People with SPS respond to high doses of diazepam and several anti-convulsants, gabapentin and tiagabine. A recent study funded by the NINDS demonstrated the effectiveness of intravenous immunoglobulin (IVIg) treatment in reducing stiffness and lowering sensitivity to noise, touch, and stress in people with SPS.",NINDS,Stiff-Person Syndrome,8,45
How many people are affected by CHOPS syndrome ?,CHOPS syndrome is a rare disorder whose prevalence is unknown. Only a few affected individuals have been described in the medical literature.,GHR,CHOPS syndrome,9,22
What are the treatments for Ohtahara Syndrome ?,"Antiepileptic drugs are used to control seizures, but are unfortunately not usually very effective for this disorder. Corticosteroids are occasionally helpful. In cases where there is a focal brain lesion (damage contained to one area of the brain) surgery may be beneficial. Other therapies are symptomatic and supportive.",NINDS,Ohtahara Syndrome,8,48
How many people are affected by catecholaminergic polymorphic ventricular tachycardia ?,"The prevalence of CPVT is estimated to be about 1 in 10,000 people. However, the true prevalence of this condition is unknown.",GHR,catecholaminergic polymorphic ventricular tachycardia,11,22
How many people are affected by Denys-Drash syndrome ?,The prevalence of Denys-Drash syndrome is unknown; at least 150 affected individuals have been reported in the scientific literature.,GHR,Denys-Drash syndrome,9,19
Is Holt-Oram syndrome inherited ?,"This condition is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder.",GHR,Holt-Oram syndrome,5,26
What is the outlook for Inclusion Body Myositis ?,IBM is generally resistant to all therapies and its rate of progression appears to be unaffected by currently available treatments.,NINDS,Inclusion Body Myositis,9,20
What is the outlook for Gerstmann's Syndrome ?,"In adults, many of the symptoms diminish over time. Although it has been suggested that in children symptoms may diminish over time, it appears likely that most children probably do not overcome their deficits, but learn to adjust to them.",NINDS,Gerstmann's Syndrome,8,40
What is (are) Skin Cancer ?,"When the cancer spreads from its original tumor location in the skin to another part of the body such as the brain, it is called metastatic skin cancer. It is not the same as a cancer that started in the brain (brain cancer). Doctors sometimes call this ""distant"" disease.",NIHSeniorHealth,Skin Cancer,6,49
How many people are affected by mandibuloacral dysplasia ?,Mandibuloacral dysplasia is a rare condition; its prevalence is unknown.,GHR,mandibuloacral dysplasia,9,10
How many people are affected by spinocerebellar ataxia type 36 ?,"Approximately 100 individuals with SCA36 have been reported in the scientific literature. Almost all of these individuals have been from two regions: western Japan and the Costa de Morte in Galicia, Spain.",GHR,spinocerebellar ataxia type 36,11,32
How many people are affected by cerebral cavernous malformation ?,Cerebral cavernous malformations affect about 0.5 percent of the population worldwide.,GHR,cerebral cavernous malformation,10,11
What is (are) Parasites - Loiasis ?,Loiasis is an infection caused by the parasitic worm Loa loa.,CDC,Parasites - Loiasis,7,11
What is the outlook for Attention Deficit-Hyperactivity Disorder ?,"There is no ""cure"" for ADHD. Children with the disorder seldom outgrow it; however, some may find adaptive ways to accommodate the ADHD as they mature.",NINDS,Attention Deficit-Hyperactivity Disorder,9,26
How many people are affected by hereditary pancreatitis ?,"Hereditary pancreatitis is thought to be a rare condition. In Europe, its prevalence is estimated to be 3 to 6 per million individuals.",GHR,hereditary pancreatitis,9,23
How many people are affected by arginase deficiency ?,"Arginase deficiency is a very rare disorder; it has been estimated to occur once in every 300,000 to 1,000,000 individuals.",GHR,arginase deficiency,9,20
How many people are affected by genitopatellar syndrome ?,Genitopatellar syndrome is estimated to occur in fewer than 1 per million people. At least 18 cases have been reported in the medical literature.,GHR,genitopatellar syndrome,9,24
what research (or clinical trials) is being done for Herpes Zoster Oticus ?,The NINDS supports research on shingles and shingles-related conditions. Current studies focus on the relationship between the persistence of neurotropic viruses and development of neurological diseases including herpes simplex and varicella-zoster viruses.,NINDS,Herpes Zoster Oticus,13,32
How to diagnose Neonatal progeroid syndrome ?,"How is neonatal progeroid syndrome diagnosed? A diagnosis of neonatal progeroid syndrome is made based on the presence of characteristic signs and symptoms. Rarely, a diagnosis may be suspected before birth if concerning features are viewed on ultrasound; however, most cases are diagnosed shortly after birth.",GARD,Neonatal progeroid syndrome,7,46
Do you have information about Children's Page,"Summary : Kids, this page is for you. Learn about everything from how the body works to what happens when you go to the hospital. There are quizzes, games and lots of cool web sites for you to explore. Have fun!",MPlusHealthTopics,Children's Page,7,41
"How many people are affected by spondyloepimetaphyseal dysplasia, Strudwick type ?",This condition is rare; only a few affected individuals have been reported worldwide.,GHR,"spondyloepimetaphyseal dysplasia, Strudwick type",11,13
What is (are) Age-related Macular Degeneration ?,Drusen are yellow deposits under the retina. They often are found in people over age 50. Your eye care professional can detect drusen during a comprehensive dilated eye exam.,NIHSeniorHealth,Age-related Macular Degeneration,7,29
How many people are affected by idiopathic inflammatory myopathy ?,"The incidence of idiopathic inflammatory myopathy is approximately 2 to 8 cases per million people each year.  For unknown reasons, polymyositis and dermatomyositis are about twice as common in women as in men, while sporadic inclusion body myositis is more common in men.",GHR,idiopathic inflammatory myopathy,10,43
What causes Jones syndrome ?,"What causes Jones syndrome? The exact, underlying genetic cause of Jones syndrome is not yet known.",GARD,Jones syndrome,5,16
How many people are affected by dihydrolipoamide dehydrogenase deficiency ?,"Dihydrolipoamide dehydrogenase deficiency occurs in an estimated 1 in 35,000 to 48,000 individuals of Ashkenazi Jewish descent. This population typically has liver disease as the primary symptom. In other populations, the prevalence of dihydrolipoamide dehydrogenase deficiency is unknown, but the condition is likely rare.",GHR,dihydrolipoamide dehydrogenase deficiency,10,44
How many people are affected by epidermolysis bullosa with pyloric atresia ?,"EB-PA appears to be a rare condition, although its prevalence is unknown. At least 50 affected individuals have been reported worldwide.",GHR,epidermolysis bullosa with pyloric atresia,12,21
What are the treatments for Lupus ?,"How might lupus be treated? For information on the treatment of lupus, you can read the National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIAMS) publication called Handout on Health: Systemic Lupus Erythematosus. NIAMS is the primary NIH organization for research and information on lupus.",GARD,Lupus,7,46
How to diagnose Situs inversus ?,"How is situs inversus diagnosed? A thorough physical examination, followed by radiographic imaging of the chest and abdomen and electrocardiography, identify most cases of situs inversus. The main diagnostic challenge in affected people is the non-traditional presence of referred pain (pain felt in a different location than its source).",GARD,Situs inversus,6,49
What are the treatments for Acinetobacter in Healthcare Settings ?,Acinetobacter is often resistant to many commonly prescribed antibiotics. Decisions on treatment of infections with Acinetobacter should be made on a case-by-case basis by a healthcare provider. Acinetobacter infection typically occurs in ill patients and can either cause or contribute to death in these patients.,CDC,Acinetobacter in Healthcare Settings,10,45
How many people are affected by dystrophic epidermolysis bullosa ?,"Considered together, the incidence of all types of dystrophic epidermolysis bullosa is estimated to be 6.5 per million newborns in the United States. The severe autosomal recessive forms of this disorder affect fewer than 1 per million newborns.",GHR,dystrophic epidermolysis bullosa,10,38
What are the treatments for Parasites - Toxocariasis (also known as Roundworm Infection) ?,"Visceral toxocariasis can be treated with antiparasitic drugs such as albendazole or mebendazole. Treatment of ocular toxocariasis is more difficult and usually consists of measures to prevent progressive damage to the eye.
    
More on: Resources For Health Professionals: Treatment",CDC,Parasites - Toxocariasis (also known as Roundworm Infection),14,39
